"SampleID"	"ExtractID"	"SequenceID"	"steps_remaining"	"LibraryCode"	"LibraryTube"	"LibraryBarcode"	"SampVolPool"	"TotalPoolVol"	"BeadVol"	"Conc_QC2"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"	"SampleSet"	"LibPrepDate"	"LibPrepWorkflow"	"LibPrepKit"	"FlowCellType"	"FlongleAdapter"	"SeqDevice"	"strands"	"fragment_type"	"Length"	"InputMassStart"	"TemplateVolPrep"	"PoolSamples"	"InputMassFinal"	"ExtractDate"	"ExtractedBy"	"ExtractKit"	"ExtractBox"	"ExtractNotes"	"ExtractConc"	"SampleCollectedBy"	"SampleNotes"	"Bristol"	"SampleTime"	"SampleStabilizer"	"CollectionDate"	"Subject"	"Subj_Certainty"
"HAM-1-MGE"	"DNA2-HAM-1-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-05-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 1"	""	0.4	"SA"	""	1	800	"Molecular Grade (96%) Ethanol"	2023-03-10	"Hamlet"	"yes"
"HAM-1-DRS"	"DNA3-HAM-1-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-06-02	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 1"	""	3.5	"SA"	""	1	800	"DNA/RNA Shield"	2023-03-10	"Hamlet"	"yes"
"HAM-1-MGE"	"DNA3-HAM-1-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-06-02	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 1"	""	0	"SA"	""	1	800	"Molecular Grade (96%) Ethanol"	2023-03-10	"Hamlet"	"yes"
"HER-1-MGE"	"DNA1-HER-1-MGE"	"HER-1-MGE-S175"	"sample extracted and sequenced"	"cm009"	14	14	NA	NA	NA	NA	21221	"AVI598"	"UNO-CM-009"	"CM009"	2024-07-19	2024-07-19 21:27:21.691894	"marmoset"	2024-07-19	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-06-27	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 2"	"out"	12	"SA"	""	1	800	"Molecular Grade (96%) Ethanol"	2023-03-10	"Hera"	"yes"
"HER-1-DRS"	"DNA1-HER-1-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-06-27	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 2"	""	66	"SA"	""	1	800	"DNA/RNA Shield"	2023-03-10	"Hera"	"yes"
"IRI-1-DRS"	"DNA1-IRI-1-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-06-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 3"	""	16	"SA"	""	2	800	"DNA/RNA Shield"	2023-03-10	"Iris"	"yes"
"IRI-1-MGE"	"DNA1-IRI-1-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-06-29	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 3"	"low"	11	"SA"	""	2	800	"Molecular Grade (96%) Ethanol"	2023-03-10	"Iris"	"yes"
"IVY-1-DRS"	"DNA1-IVY-1-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-13	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 4"	""	36	"SA"	""	1	730	"DNA/RNA Shield"	2023-03-10	"Ivy"	"yes"
"IVY-1-MGE"	"DNA1-IVY-1-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-13	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 4"	""	22	"SA"	""	1	730	"Molecular Grade (96%) Ethanol"	2023-03-10	"Ivy"	"yes"
"JAR-1-DRS"	"DNA1-JAR-1-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-06-28	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 3"	""	0.8	"SA"	""	3	800	"DNA/RNA Shield"	2023-03-10	"JarJar BINKS"	"yes"
"JAR-1-MGE"	"DNA1-JAR-1-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-06-28	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 3"	""	3.2	"SA"	""	3	800	"Molecular Grade (96%) Ethanol"	2023-03-10	"JarJar BINKS"	"yes"
"JOA-1-DRS"	"DNA1-JOA-1-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-06-16	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 1"	""	58	"SA"	""	1	730	"DNA/RNA Shield"	2023-03-10	"Joans"	"yes"
"JOA-1-MGE"	"DNA1-JOA-1-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-06-16	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 1"	""	49	"SA"	""	1	730	"Molecular Grade (96%) Ethanol"	2023-03-10	"Joans"	"yes"
"LAM-1-DRS"	"DNA1-LAM-1-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-11	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 3"	""	0.6	"SA"	""	2	730	"DNA/RNA Shield"	2023-03-10	"Lambchop"	"yes"
"LAM-1-MGE"	"DNA1-LAM-1-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-11	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 3"	"low"	6.3	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-10	"Lambchop"	"yes"
"LAM-1-DRS"	"DNA2-LAM-1-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 3"	""	18	"SA"	""	2	730	"DNA/RNA Shield"	2023-03-10	"Lambchop"	"yes"
"LAM-1-MGE"	"DNA2-LAM-1-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 3"	""	12	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-10	"Lambchop"	"yes"
"PAD-1-MGE"	"DNA1-PAD-1-MGE"	"PAD-1-MGE-L96"	"sample extracted and sequenced"	"cm001"	2	2	2	227	136.2	12	23833	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-07-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 4"	""	91	"SA"	""	4	730	"Molecular Grade (96%) Ethanol"	2023-03-10	"Padme"	"yes"
"PAD-1-DRS"	"DNA1-PAD-1-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 4"	""	35	"SA"	""	4	730	"DNA/RNA Shield"	2023-03-10	"Padme"	"yes"
"WOL-1-MGE"	"DNA1-WOL-1-MGE"	"WOL-1-MGE-S163"	"sample extracted and sequenced"	"cm009"	2	2	NA	NA	NA	NA	22096	"AVI598"	"UNO-CM-009"	"CM009"	2024-07-19	2024-07-19 21:27:21.691894	"marmoset"	2024-07-19	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-06-20	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 2"	""	2.2	"SA"	""	1	800	"Molecular Grade (96%) Ethanol"	2023-03-10	"Wolverine"	"yes"
"WOL-1-DRS"	"DNA1-WOL-1-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-06-20	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 2"	""	0.9	"SA"	""	1	800	"DNA/RNA Shield"	2023-03-10	"Wolverine"	"yes"
"GIN-2-MGE"	"DNA1-GIN-2-MGE"	"GIN-2-MGE-S174"	"sample extracted and sequenced"	"cm009"	13	13	NA	NA	NA	NA	23901	"AVI598"	"UNO-CM-009"	"CM009"	2024-07-19	2024-07-19 21:27:21.691894	"marmoset"	2024-07-19	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-07-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 4"	""	1.9	"SA"	""	3	730	"Molecular Grade (96%) Ethanol"	2023-03-11	"Ginger"	"yes"
"GIN-2-DRS"	"DNA1-GIN-2-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-18	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 4"	""	6.1	"SA"	""	3	730	"DNA/RNA Shield"	2023-03-11	"Ginger"	"yes"
"GOO-2-DRS"	"DNA1-GOO-2-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-28	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 5"	""	9.3	"SA"	""	1	730	"DNA/RNA Shield"	2023-03-11	"Goose"	"yes"
"GOO-2-MGE"	"DNA1-GOO-2-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-28	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 5"	""	6.1	"SA"	""	1	730	"Molecular Grade (96%) Ethanol"	2023-03-11	"Goose"	"yes"
"HAM-2-DRS"	"DNA1-HAM-2-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-06-22	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 2"	""	15	"SA"	""	1	800	"DNA/RNA Shield"	2023-03-11	"Hamlet"	"yes"
"HAM-2-MGE"	"DNA1-HAM-2-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-06-22	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 2"	"low"	11	"SA"	""	1	800	"Molecular Grade (96%) Ethanol"	2023-03-11	"Hamlet"	"yes"
"HEN-2-DRS"	"DNA1-HEN-2-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-21	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 4"	""	24	"SA"	""	3	730	"DNA/RNA Shield"	2023-03-11	"Henry"	"yes"
"HEN-2-MGE"	"DNA1-HEN-2-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-21	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 4"	""	7.2	"SA"	""	3	730	"Molecular Grade (96%) Ethanol"	2023-03-11	"Henry"	"yes"
"HER-2-DRS"	"DNA1-HER-2-DRS"	"HER-2-DRS-L145"	"sample extracted and sequenced"	"cm001"	12	12	2	227	136.2	12	8585	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-04	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 5"	""	28	"SA"	""	2	800	"DNA/RNA Shield"	2023-03-11	"Hera"	"yes"
"HER-2-MGE"	"DNA1-HER-2-MGE"	"HER-2-MGE-L146"	"sample extracted and sequenced"	"cm001"	13	13	5	227	136.2	4.11	21427	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-04	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 5"	""	6	"SA"	""	2	800	"Molecular Grade (96%) Ethanol"	2023-03-11	"Hera"	"yes"
"IRI-2-DRS"	"DNA1-IRI-2-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-08-29	"SA/GC"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 6"	""	11	"SA"	""	1	800	"DNA/RNA Shield"	2023-03-11	"Iris"	"yes"
"IRI-2-MGE"	"DNA1-IRI-2-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-08-29	"SA/GC"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 6"	""	15	"SA"	""	1	800	"Molecular Grade (96%) Ethanol"	2023-03-11	"Iris"	"yes"
"IVY-2-DRS"	"DNA1-IVY-2-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-10-04	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 7"	""	18	"SA"	""	2	730	"DNA/RNA Shield"	2023-03-11	"Ivy"	"yes"
"IVY-2-MGE"	"DNA1-IVY-2-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-10-04	"SA/SK"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 7"	""	1.2	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-11	"Ivy"	"yes"
"JAR-2-DRS"	"DNA1-JAR-2-DRS"	"JAR-2-DRS-L159"	"sample extracted and sequenced"	"cm001"	19	19	3	227	136.2	7.7	26372	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-08	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 6"	""	5.6	"SA"	""	3	800	"DNA/RNA Shield"	2023-03-11	"JarJar BINKS"	"yes"
"JAR-2-MGE"	"DNA1-JAR-2-MGE"	"JAR-2-MGE-L160"	"sample extracted and sequenced"	"cm001"	20	20	2	227	136.2	7.9	26958	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-08-08	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 6"	""	5.2	"SA"	""	3	800	"Molecular Grade (96%) Ethanol"	2023-03-11	"JarJar BINKS"	"yes"
"JAR-2-DRS"	"DNA1-JAR-2-DRS"	"JAR-2-DRS-S3"	"sample extracted and sequenced"	"cm002"	3	3	0	NA	NA	7.4	26940	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-08	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 6"	""	5.6	"SA"	""	3	800	"DNA/RNA Shield"	2023-03-11	"JarJar BINKS"	"yes"
"JAR-2-MGE"	"DNA1-JAR-2-MGE"	"JAR-2-MGE-S4"	"sample extracted and sequenced"	"cm002"	4	4	0	NA	NA	8.9	33907	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-08-08	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 6"	""	5.2	"SA"	""	3	800	"Molecular Grade (96%) Ethanol"	2023-03-11	"JarJar BINKS"	"yes"
"JOA-2-DRS"	"DNA1-JOA-2-DRS"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-21	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 4"	""	38	"SA"	""	1	730	"DNA/RNA Shield"	2023-03-11	"Joans"	"yes"
"JOA-2-MGE"	"DNA1-JOA-2-MGE"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-07-21	"SA"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 4"	"low"	9.5	"SA"	""	1	730	"Molecular Grade (96%) Ethanol"	2023-03-11	"Joans"	"yes"
"LAM-2-DRS"	"DNA1-LAM-2-DRS"	"LAM-2-DRS-L218"	"sample extracted and sequenced"	"cm001"	45	45	12	227	136.2	1.65	21200	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 7"	""	6.3	"SA"	""	2	730	"DNA/RNA Shield"	2023-03-11	"Lambchop"	"yes"
"LAM-2-MGE"	"DNA1-LAM-2-MGE"	"LAM-2-MGE-L219"	"sample extracted and sequenced"	"cm001"	46	46	16	227	136.2	1.21	18486	"FAW97410"	"PL1_Run2"	"no_sample"	2023-12-21	2023-12-21 18:48:13.951103	"marmoset"	2023-12-21	"lsk16s"	"SQK-LSK114 EXP-PBC096"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	47	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 7"	""	3.2	"SA"	""	2	730	"Molecular Grade (96%) Ethanol"	2023-03-11	"Lambchop"	"yes"
"LAM-2-DRS"	"DNA1-LAM-2-DRS"	"LAM-2-DRS-S16"	"sample extracted and sequenced"	"cm002"	16	16	0	NA	NA	8	21211	"FAX08980"	"PL2"	"no_sample"	2024-02-12	2024-02-12 18:57:44.163673	"marmoset"	2024-02-12	"rapid16s"	"SQK-16S024"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-09-22	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"DNA Extracts 7"	""	6.3	"SA"	""	2	730	"DNA/RNA Shield"	2023-03-11	"Lambchop"	"yes"
